Exported on 2026-03-20 20:04 with SMS Exporter android app https://smartpositive.com/sms-exporter


Date,Time,Direction,Contact,Phone,Content,Type
2024-05-31,12:00:21,Received,MobileMoney,MobileMoney,Solde Courant: 5032 FCFA ; Solde disponible: 5032 FCFA ; Solde Credit de communication: 0 FCFA; Cadeau MTN MoMo: 100.,SMS
2024-05-31,14:25:56,Received,MobileMoney,MobileMoney,Transfert de 2500 FCFA effectue avec succes a KLOUVIS TAHKEPE MANDZE (237677141177) le 2024-05-31 14:25:50. FRAIS 55 FCFA. transaction Id: 9092469256. Reference: 1. Nouveau solde est: 2477 FCFA.  Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,SMS
2024-06-02,18:45:25,Received,MobileMoney,MobileMoney,Solde Courant: 1977 FCFA ; Solde disponible: 1977 FCFA ; Solde Credit de communication: 0 FCFA; Cadeau MTN MoMo: 100.,SMS
2024-06-02,19:47:59,Received,MobileMoney,MobileMoney,"Une transaction de 1000 XAF effectue par MTNC BUNDLES_FORFAITS   (MTN_Bundles) sur votre compte d'argent mobile s'est terminee ave success a 2024-06-02 19:47:56. Le montant faisait l'objet d'une remise de 0 et de bons de reduction d'une valeur de 0. Message du destinataire du debit : . Votre nouveau solde : 977 XAF. Les frais s'elevaient a 0 XAF, les frais de fidelite a 0 et la recompense de fidelite 0. Identifiant de transaction financiere : 9111966082. Id de transaction externe : 4165187745692005109. Profitez jusqu'a 200 Mo de BONUS en effectuant au moins une transaction sur l'application MoMo. Telechargez l'appli sur onelink.to/8738x9. Pour plus d'info, appel au 8787 ou WhatsApp 650528787",SMS
2024-06-03,20:13:21,Received,MobileMoney,MobileMoney,"Une transaction de 250 XAF effectue par MTNC BUNDLES_FORFAITS   (MTN_Bundles) sur votre compte d'argent mobile s'est terminee ave success a 2024-06-03 20:12:41. Le montant faisait l'objet d'une remise de 0 et de bons de reduction d'une valeur de 0. Message du destinataire du debit : . Votre nouveau solde : 727 XAF. Les frais s'elevaient a 0 XAF, les frais de fidelite a 0 et la recompense de fidelite 0. Identifiant de transaction financiere : 9120287617. Id de transaction externe : 3605085332742243914. Profitez jusqu'a 200 Mo de BONUS en effectuant au moins une transaction sur l'application MoMo. Telechargez l'appli sur onelink.to/8738x9. Pour plus d'info, appel au 8787 ou WhatsApp 650528787",SMS
2024-06-04,19:56:11,Received,MobileMoney,MobileMoney,Solde Courant: 727 FCFA ; Solde disponible: 727 FCFA ; Solde Credit de communication: 0 FCFA; Cadeau MTN MoMo: 100.,SMS
2024-06-05,21:02:29,Received,MobileMoney,MobileMoney,"Une transaction de 100 XAF effectue par MTNC BUNDLES_FORFAITS   (MTN_Bundles) sur votre compte d'argent mobile s'est terminee ave success a 2024-06-05 21:02:07. Le montant faisait l'objet d'une remise de 0 et de bons de reduction d'une valeur de 0. Message du destinataire du debit : . Votre nouveau solde : 627 XAF. Les frais s'elevaient a 0 XAF, les frais de fidelite a 0 et la recompense de fidelite 0. Identifiant de transaction financiere : 9136699537. Id de transaction externe : 3696380821119282217. Profitez jusqu'a 200 Mo de BONUS en effectuant au moins une transaction sur l'application MoMo. Telechargez l'appli sur onelink.to/8738x9. Pour plus d'info, appel au 8787 ou WhatsApp 650528787",SMS
2024-06-06,20:36:27,Received,MobileMoney,MobileMoney,"Une transaction de 100 XAF effectue par MTNC BUNDLES_FORFAITS   (MTN_Bundles) sur votre compte d'argent mobile s'est terminee ave success a 2024-06-06 20:36:06. Le montant faisait l'objet d'une remise de 0 et de bons de reduction d'une valeur de 0. Message du destinataire du debit : . Votre nouveau solde : 527 XAF. Les frais s'elevaient a 0 XAF, les frais de fidelite a 0 et la recompense de fidelite 0. Identifiant de transaction financiere : 9144692849. Id de transaction externe : 8698788913577263108. Profitez jusqu'a 200 Mo de BONUS en effectuant au moins une transaction sur l'application MoMo. Telechargez l'appli sur onelink.to/8738x9. Pour plus d'info, appel au 8787 ou WhatsApp 650528787",SMS
2024-06-07,07:23:55,Received,MobileMoney,MobileMoney,"Une transaction de 100 XAF effectue par MTNC BUNDLES_FORFAITS   (MTN_Bundles) sur votre compte d'argent mobile s'est terminee ave success a 2024-06-07 07:23:35. Le montant faisait l'objet d'une remise de 0 et de bons de reduction d'une valeur de 0. Message du destinataire du debit : . Votre nouveau solde : 427 XAF. Les frais s'elevaient a 0 XAF, les frais de fidelite a 0 et la recompense de fidelite 0. Identifiant de transaction financiere : 9146345225. Id de transaction externe : 1209189365706100317. Profitez jusqu'a 200 Mo de BONUS en effectuant au moins une transaction sur l'application MoMo. Telechargez l'appli sur onelink.to/8738x9. Pour plus d'info, appel au 8787 ou WhatsApp 650528787",SMS
2024-06-07,10:44:09,Received,MobileMoney,MobileMoney,Vous avez recu 10000 XAF de FELIX JUMBAM NTANI sur votre compte Mobile Money 2024-06-07 10:42:46. Message de l'expediteur: . Votre nouveau solde est de 10427 FCFA. Frais: 0 XAF. Transaction ID: 9147885590. Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,SMS
